event_id,customer_id,account_id,event_date,event_type,user_count,gb_processed,api_calls,feature_name
EVT000028,CUST001,ACC001,2023-11-07,login,65,29.22,62,API Access
EVT000029,CUST001,ACC001,2024-01-01,login,29,42.81,82,Custom Reports
EVT000030,CUST001,ACC001,2024-04-06,report_create,59,43.8,54,Analytics Dashboard
EVT000031,CUST001,ACC001,2024-02-07,report_create,100,8.36,85,Alerts & Notifications
EVT000032,CUST001,ACC001,2024-07-02,api_call,43,11.3,5971,Custom Reports
EVT000033,CUST001,ACC001,2023-12-26,data_export,90,4.99,77,User Management
EVT000034,CUST001,ACC001,2024-07-24,login,52,15.51,84,Advanced Analytics
EVT000035,CUST001,ACC001,2024-02-26,login,83,2.38,36,White Label Branding
EVT000036,CUST001,ACC001,2024-02-09,login,76,18.66,9,User Management
EVT000037,CUST001,ACC001,2024-06-28,data_export,15,41.6,24,User Management
EVT000038,CUST001,ACC001,2023-11-19,report_create,10,49.03,6,API Access
EVT000039,CUST001,ACC001,2023-12-26,data_export,100,45.58,11,Predictive Models
EVT000040,CUST001,ACC001,2024-04-11,api_call,75,14.87,5857,Data Export
EVT000041,CUST001,ACC001,2024-03-31,login,39,44.25,88,Data Export
EVT000042,CUST001,ACC001,2024-10-10,dashboard_view,84,20.27,2,Data Integration
EVT000043,CUST001,ACC001,2024-04-30,login,57,41.79,49,User Management
EVT000044,CUST001,ACC001,2023-12-25,login,27,31.26,27,Data Export
EVT000045,CUST001,ACC001,2023-10-22,api_call,25,6.46,7401,Alerts & Notifications
EVT000046,CUST001,ACC001,2023-10-26,login,42,28.81,17,Alerts & Notifications
EVT000047,CUST001,ACC001,2024-09-06,report_create,23,5.18,61,Data Export
EVT000048,CUST002,ACC002,2024-04-30,dashboard_view,72,3.06,85,Custom Reports
EVT000049,CUST002,ACC002,2024-08-26,login,18,6.18,56,User Management
EVT000050,CUST002,ACC002,2024-08-22,login,20,25.24,52,User Management
EVT000051,CUST002,ACC002,2023-11-21,dashboard_view,64,39.88,12,Custom Reports
EVT000052,CUST002,ACC002,2024-04-06,alert_trigger,15,22.19,39,White Label Branding
EVT000053,CUST002,ACC002,2024-06-18,dashboard_view,53,48.11,75,Advanced Analytics
EVT000054,CUST002,ACC002,2024-02-11,data_export,48,36.69,57,Custom Reports
EVT000055,CUST002,ACC002,2024-01-10,api_call,80,30.99,9921,Data Export
EVT000056,CUST002,ACC002,2023-10-30,data_export,99,32.75,23,Custom Reports
EVT000057,CUST002,ACC002,2024-09-19,dashboard_view,50,31.07,94,User Management
EVT000058,CUST002,ACC002,2024-02-05,login,54,44.43,57,Alerts & Notifications
EVT000059,CUST002,ACC002,2024-01-24,dashboard_view,98,15.69,33,Data Export
EVT000060,CUST002,ACC002,2024-10-13,dashboard_view,52,11.44,80,User Management
EVT000061,CUST002,ACC002,2024-07-13,login,50,26.28,14,API Access
EVT000062,CUST002,ACC002,2024-02-17,dashboard_view,62,33.86,65,Alerts & Notifications
EVT000063,CUST002,ACC002,2024-10-01,data_export,57,36.22,25,Alerts & Notifications
EVT000064,CUST002,ACC002,2024-09-09,dashboard_view,74,31.71,79,Predictive Models
EVT000065,CUST002,ACC002,2024-08-22,login,31,38.02,83,White Label Branding
EVT000066,CUST002,ACC002,2024-04-01,alert_trigger,25,31.22,46,Data Export
EVT000067,CUST002,ACC002,2024-01-03,dashboard_view,25,28.05,86,Analytics Dashboard
EVT000068,CUST002,ACC002,2024-02-19,login,58,33.7,27,API Access
EVT000069,CUST002,ACC002,2024-06-12,login,70,40.41,86,API Access
EVT000070,CUST002,ACC002,2024-06-06,login,65,23.0,79,API Access
EVT000071,CUST002,ACC002,2023-12-15,report_create,59,46.84,33,White Label Branding
EVT000072,CUST002,ACC002,2023-12-17,report_create,56,7.48,78,Alerts & Notifications
EVT000073,CUST002,ACC002,2023-12-13,api_call,93,34.92,1520,Analytics Dashboard
EVT000074,CUST002,ACC002,2024-09-01,login,60,36.83,90,Custom Reports
EVT000075,CUST002,ACC002,2024-08-13,report_create,46,37.45,31,White Label Branding
EVT000076,CUST002,ACC002,2024-02-06,dashboard_view,74,26.66,56,Advanced Analytics
EVT000077,CUST002,ACC002,2024-01-06,login,24,13.15,34,White Label Branding
EVT000078,CUST002,ACC002,2024-07-19,login,73,19.3,8,Predictive Models
EVT000079,CUST002,ACC002,2024-10-05,login,33,23.32,36,Advanced Analytics
EVT000080,CUST002,ACC002,2024-06-03,data_export,96,23.62,85,Predictive Models
EVT000081,CUST002,ACC002,2023-10-30,dashboard_view,14,36.57,92,API Access
EVT000082,CUST002,ACC002,2024-10-06,dashboard_view,16,45.34,81,Data Integration
EVT000083,CUST002,ACC002,2024-04-25,login,92,23.85,79,Data Integration
EVT000084,CUST002,ACC002,2024-09-12,data_export,28,31.88,79,Alerts & Notifications
EVT000085,CUST002,ACC002,2024-05-03,login,48,22.87,45,Data Export
EVT000086,CUST002,ACC002,2024-09-21,dashboard_view,59,20.6,6,Custom Reports
EVT000087,CUST002,ACC002,2024-08-17,report_create,92,41.71,63,Advanced Analytics
EVT000088,CUST002,ACC002,2024-02-23,report_create,89,41.27,89,White Label Branding
EVT000089,CUST002,ACC002,2023-12-26,login,99,25.81,58,Advanced Analytics
EVT000090,CUST002,ACC002,2024-06-10,login,46,14.28,43,Advanced Analytics
EVT000091,CUST002,ACC002,2024-06-10,login,23,37.5,24,Predictive Models
EVT000092,CUST002,ACC002,2024-06-01,login,78,3.86,99,Custom Reports
EVT000093,CUST002,ACC002,2023-11-02,api_call,70,5.58,323,Data Export
EVT000094,CUST002,ACC002,2024-05-14,dashboard_view,35,1.52,86,API Access
EVT000095,CUST002,ACC002,2024-07-10,login,61,8.71,56,White Label Branding
EVT000096,CUST002,ACC002,2024-09-02,login,96,37.1,54,API Access
EVT000097,CUST002,ACC002,2024-08-12,data_export,62,2.03,59,Advanced Analytics
EVT000098,CUST002,ACC002,2024-09-02,alert_trigger,48,32.52,69,Analytics Dashboard
EVT000099,CUST002,ACC002,2024-02-26,dashboard_view,21,7.14,20,API Access
EVT000100,CUST002,ACC002,2024-05-08,dashboard_view,60,22.32,22,API Access
EVT000101,CUST002,ACC002,2024-09-10,login,43,27.66,75,Data Export
EVT000102,CUST002,ACC002,2024-08-05,alert_trigger,13,29.01,12,Advanced Analytics
EVT000103,CUST002,ACC002,2024-08-14,login,62,21.01,91,White Label Branding
EVT000104,CUST002,ACC002,2024-04-29,login,34,25.93,61,Data Integration
EVT000105,CUST002,ACC002,2024-10-15,alert_trigger,10,38.71,89,Custom Reports
EVT000106,CUST002,ACC002,2024-05-15,login,16,49.15,95,Analytics Dashboard
EVT000107,CUST002,ACC002,2023-12-18,login,23,4.89,61,Analytics Dashboard
EVT000108,CUST002,ACC002,2024-04-15,api_call,21,47.39,5488,Predictive Models
EVT000109,CUST002,ACC002,2024-03-12,login,94,11.29,42,Predictive Models
EVT000110,CUST002,ACC002,2024-08-11,report_create,62,32.37,46,Data Export
EVT000111,CUST002,ACC002,2024-05-10,dashboard_view,54,18.36,38,Analytics Dashboard
EVT000112,CUST003,ACC003,2024-04-19,login,35,31.82,82,API Access
EVT000113,CUST003,ACC003,2024-01-20,api_call,38,43.25,3105,Alerts & Notifications
EVT000114,CUST003,ACC003,2024-03-07,login,67,22.65,70,Predictive Models
EVT000115,CUST003,ACC003,2024-07-29,api_call,59,47.83,8279,Predictive Models
EVT000116,CUST003,ACC003,2024-10-01,login,72,40.31,88,Data Integration
EVT000117,CUST003,ACC003,2024-01-24,api_call,89,44.23,6308,Data Export
EVT000118,CUST003,ACC003,2024-01-19,dashboard_view,27,26.49,98,API Access
EVT000119,CUST003,ACC003,2023-12-24,alert_trigger,37,42.37,37,White Label Branding
EVT000120,CUST003,ACC003,2023-12-01,dashboard_view,55,48.95,81,Alerts & Notifications
EVT000121,CUST003,ACC003,2024-10-10,login,66,32.27,30,Data Export
EVT000122,CUST003,ACC003,2024-09-03,login,94,4.21,71,Data Export
EVT000123,CUST003,ACC003,2024-01-10,report_create,28,21.44,75,Predictive Models
EVT000124,CUST003,ACC003,2023-12-20,dashboard_view,18,13.48,77,Custom Reports
EVT000125,CUST003,ACC003,2024-01-03,login,34,16.11,81,Alerts & Notifications
EVT000126,CUST003,ACC003,2024-09-09,login,68,9.98,11,Alerts & Notifications
EVT000127,CUST003,ACC003,2024-06-04,dashboard_view,92,29.12,29,Data Export
EVT000128,CUST003,ACC003,2024-07-07,report_create,81,35.02,62,Analytics Dashboard
EVT000129,CUST003,ACC003,2024-04-14,dashboard_view,73,46.51,87,API Access
EVT000130,CUST003,ACC003,2024-08-12,api_call,87,45.16,5996,Data Integration
EVT000131,CUST003,ACC003,2024-08-09,api_call,13,22.41,8967,Predictive Models
EVT000132,CUST003,ACC003,2024-07-17,dashboard_view,33,6.94,92,Custom Reports
EVT000133,CUST003,ACC003,2024-01-18,dashboard_view,72,43.16,64,Data Integration
EVT000134,CUST003,ACC003,2024-07-12,dashboard_view,87,31.27,3,White Label Branding
EVT000135,CUST003,ACC003,2024-09-02,dashboard_view,98,38.25,50,Alerts & Notifications
EVT000136,CUST003,ACC003,2024-04-11,dashboard_view,99,23.1,20,Analytics Dashboard
EVT000137,CUST003,ACC003,2024-05-02,alert_trigger,15,34.58,77,Custom Reports
EVT000138,CUST003,ACC003,2024-07-14,dashboard_view,97,11.1,98,Data Export
EVT000139,CUST003,ACC003,2024-09-16,login,72,25.31,81,Analytics Dashboard
EVT000140,CUST003,ACC003,2024-01-31,dashboard_view,83,18.33,16,Custom Reports
EVT000141,CUST003,ACC003,2024-02-19,login,73,42.73,40,Predictive Models
EVT000142,CUST003,ACC003,2024-06-01,dashboard_view,11,17.17,85,API Access
EVT000143,CUST003,ACC003,2024-08-04,dashboard_view,95,16.2,32,White Label Branding
EVT000144,CUST003,ACC003,2024-01-02,report_create,71,17.17,60,API Access
EVT000145,CUST003,ACC003,2023-10-27,data_export,93,23.08,78,Data Export
EVT000146,CUST003,ACC003,2024-02-04,report_create,16,1.42,29,User Management
EVT000147,CUST003,ACC003,2024-06-22,login,33,2.81,94,Advanced Analytics
EVT000148,CUST003,ACC003,2024-03-02,dashboard_view,54,39.53,60,Predictive Models
EVT000149,CUST003,ACC003,2024-08-26,login,79,27.8,5,Advanced Analytics
EVT000150,CUST003,ACC003,2024-03-09,alert_trigger,27,35.12,18,Predictive Models
EVT000151,CUST003,ACC003,2023-11-26,data_export,60,16.81,40,Analytics Dashboard
EVT000152,CUST003,ACC003,2023-10-28,login,57,2.05,21,Advanced Analytics
EVT000153,CUST003,ACC003,2024-04-28,dashboard_view,40,24.09,43,Analytics Dashboard
EVT000154,CUST003,ACC003,2024-02-14,data_export,64,16.56,91,API Access
EVT000155,CUST003,ACC003,2023-12-17,login,52,39.09,72,Data Export
EVT000156,CUST003,ACC003,2023-11-28,data_export,81,36.79,75,Predictive Models
EVT000157,CUST003,ACC003,2024-04-15,login,100,38.17,67,Data Integration
EVT000158,CUST003,ACC003,2024-04-20,login,92,47.24,44,API Access
EVT000159,CUST003,ACC003,2024-05-09,login,88,44.82,55,Analytics Dashboard
EVT000160,CUST003,ACC003,2024-02-21,login,54,1.29,48,API Access
EVT000161,CUST003,ACC003,2024-02-01,alert_trigger,82,47.78,66,White Label Branding
EVT000162,CUST003,ACC003,2024-03-18,dashboard_view,11,3.63,21,Advanced Analytics
EVT000163,CUST003,ACC003,2024-01-04,dashboard_view,39,3.25,48,Data Integration
EVT000164,CUST003,ACC003,2024-04-03,login,65,31.2,11,Advanced Analytics
EVT000165,CUST003,ACC003,2024-04-10,api_call,98,13.85,4909,White Label Branding
EVT000166,CUST003,ACC003,2024-10-11,dashboard_view,80,26.21,41,Alerts & Notifications
EVT000167,CUST003,ACC003,2024-06-12,login,92,13.16,45,White Label Branding
EVT000168,CUST003,ACC003,2024-02-19,dashboard_view,73,22.2,17,API Access
EVT000169,CUST003,ACC003,2024-01-22,login,61,19.59,9,Data Export
EVT000170,CUST003,ACC003,2024-03-20,login,42,33.1,53,Advanced Analytics
EVT000171,CUST003,ACC003,2024-05-05,dashboard_view,25,11.36,69,Data Integration
EVT000172,CUST003,ACC003,2024-01-30,login,78,21.51,32,Data Export
EVT000173,CUST003,ACC003,2024-10-17,login,34,48.19,51,API Access
EVT000174,CUST003,ACC003,2023-12-14,dashboard_view,46,23.26,75,Data Integration
EVT000175,CUST003,ACC003,2024-07-04,login,69,31.06,30,Data Integration
EVT000176,CUST003,ACC003,2024-09-05,report_create,44,16.18,14,Analytics Dashboard
EVT000177,CUST003,ACC003,2024-10-06,api_call,28,6.77,1340,Analytics Dashboard
EVT000178,CUST003,ACC003,2024-08-03,login,94,8.15,39,Advanced Analytics
EVT000179,CUST003,ACC003,2024-01-25,report_create,12,31.52,59,Data Export
EVT000180,CUST003,ACC003,2024-09-18,data_export,77,12.63,38,Advanced Analytics
EVT000181,CUST003,ACC003,2023-12-14,report_create,51,5.02,25,Data Integration
EVT000182,CUST003,ACC003,2024-10-10,data_export,42,6.28,25,Advanced Analytics
EVT000183,CUST003,ACC003,2024-01-30,data_export,32,25.5,99,Alerts & Notifications
EVT000184,CUST003,ACC003,2024-01-28,dashboard_view,39,21.8,67,Data Integration
EVT000185,CUST003,ACC003,2023-10-28,login,94,45.3,66,White Label Branding
EVT000186,CUST004,ACC004,2023-12-13,login,8,0.89,6,Predictive Models
EVT000187,CUST004,ACC004,2024-02-21,login,2,1.7,96,Analytics Dashboard
EVT000188,CUST004,ACC004,2024-08-19,login,1,0.72,81,Analytics Dashboard
EVT000189,CUST004,ACC004,2023-11-22,login,7,1.62,12,White Label Branding
EVT000190,CUST004,ACC004,2024-01-11,dashboard_view,4,0.1,74,White Label Branding
EVT000191,CUST004,ACC004,2024-06-19,login,1,0.99,90,Custom Reports
EVT000192,CUST004,ACC004,2024-09-02,login,3,0.11,33,Data Integration
EVT000193,CUST004,ACC004,2023-12-02,alert_trigger,1,1.66,95,Data Integration
EVT000194,CUST004,ACC004,2024-07-17,data_export,5,0.28,9,API Access
EVT000195,CUST004,ACC004,2024-10-11,report_create,2,1.51,23,Predictive Models
EVT000196,CUST005,ACC005,2024-05-08,data_export,24,7.09,11,White Label Branding
EVT000197,CUST005,ACC005,2024-04-17,login,8,6.35,32,Advanced Analytics
EVT000198,CUST005,ACC005,2024-10-16,alert_trigger,3,9.09,38,API Access
EVT000199,CUST005,ACC005,2024-09-02,data_export,19,7.58,98,Advanced Analytics
EVT000200,CUST005,ACC005,2023-11-15,login,6,1.18,51,Analytics Dashboard
EVT000201,CUST005,ACC005,2024-09-18,dashboard_view,30,1.07,44,Analytics Dashboard
EVT000202,CUST005,ACC005,2024-05-13,dashboard_view,15,8.2,65,Analytics Dashboard
EVT000203,CUST005,ACC005,2024-04-30,dashboard_view,12,3.26,53,Predictive Models
EVT000204,CUST005,ACC005,2024-01-10,dashboard_view,17,9.21,49,User Management
EVT000205,CUST005,ACC005,2024-09-14,dashboard_view,28,3.1,74,User Management
EVT000206,CUST005,ACC005,2024-04-14,dashboard_view,18,1.09,59,Data Integration
EVT000207,CUST005,ACC005,2024-07-12,dashboard_view,16,3.72,71,Predictive Models
EVT000208,CUST005,ACC005,2023-12-09,report_create,23,6.37,11,Custom Reports
EVT000209,CUST005,ACC005,2024-06-19,login,23,6.95,90,Data Export
EVT000210,CUST005,ACC005,2023-11-16,login,17,5.74,86,Predictive Models
EVT000211,CUST005,ACC005,2024-05-04,dashboard_view,16,3.71,94,Data Export
EVT000212,CUST005,ACC005,2023-10-29,dashboard_view,22,3.01,37,API Access
EVT000213,CUST005,ACC005,2024-02-24,dashboard_view,18,1.14,5,Advanced Analytics
EVT000214,CUST005,ACC005,2024-01-10,data_export,13,9.56,12,Predictive Models
EVT000215,CUST005,ACC005,2024-01-05,data_export,8,7.1,81,User Management
EVT000216,CUST005,ACC005,2023-12-25,login,6,2.28,73,Custom Reports
EVT000217,CUST005,ACC005,2024-03-12,dashboard_view,21,6.9,98,Data Integration
EVT000218,CUST005,ACC005,2024-03-12,dashboard_view,18,2.38,44,Custom Reports
EVT000219,CUST005,ACC005,2024-03-13,data_export,18,6.95,59,User Management
EVT000220,CUST005,ACC005,2024-06-15,login,28,7.01,26,API Access
EVT000221,CUST005,ACC005,2024-03-26,login,14,2.69,75,White Label Branding
EVT000222,CUST005,ACC005,2024-01-06,login,23,4.53,81,Analytics Dashboard
EVT000223,CUST005,ACC005,2024-05-05,api_call,11,9.03,1877,Analytics Dashboard
EVT000224,CUST005,ACC005,2024-03-08,login,16,0.44,14,Alerts & Notifications
EVT000225,CUST005,ACC005,2024-03-04,login,12,6.25,53,White Label Branding
EVT000226,CUST005,ACC005,2024-06-12,dashboard_view,23,2.19,96,Analytics Dashboard
EVT000227,CUST005,ACC005,2023-12-21,login,12,0.59,96,Custom Reports
EVT000228,CUST005,ACC005,2023-12-14,dashboard_view,19,4.26,65,Custom Reports
EVT000229,CUST005,ACC005,2024-06-30,dashboard_view,17,6.6,29,Analytics Dashboard
EVT000230,CUST005,ACC005,2024-06-14,report_create,16,4.59,12,Data Export
EVT000231,CUST005,ACC005,2024-08-15,login,5,3.7,50,Alerts & Notifications
EVT000232,CUST005,ACC005,2024-09-11,login,22,8.14,90,User Management
EVT000233,CUST005,ACC005,2024-04-02,api_call,12,3.37,9852,Custom Reports
EVT000234,CUST001,ACC001,2024-07-17,alert_trigger,12,24.88,9,Predictive Models
EVT000235,CUST001,ACC001,2024-10-15,login,56,6.09,89,User Management
EVT000236,CUST001,ACC001,2024-05-03,login,91,18.88,30,API Access
EVT000237,CUST001,ACC001,2024-05-21,login,83,27.01,3,Predictive Models
EVT000238,CUST001,ACC001,2024-03-05,login,82,32.36,36,User Management
EVT000239,CUST001,ACC001,2024-07-30,data_export,54,41.16,32,Data Export
EVT000240,CUST001,ACC001,2024-01-24,login,17,39.34,27,White Label Branding
EVT000241,CUST001,ACC001,2024-05-06,login,92,20.02,97,User Management
EVT000242,CUST001,ACC001,2024-04-22,dashboard_view,83,10.82,47,White Label Branding
EVT000243,CUST001,ACC001,2024-01-28,login,75,22.68,52,Advanced Analytics
EVT000244,CUST001,ACC001,2024-08-22,dashboard_view,89,16.7,79,Data Integration
EVT000245,CUST001,ACC001,2023-11-29,data_export,56,19.24,1,Data Export
EVT000246,CUST001,ACC001,2024-08-29,login,15,28.98,64,User Management
EVT000247,CUST001,ACC001,2024-05-08,dashboard_view,30,36.29,97,Advanced Analytics
EVT000248,CUST001,ACC001,2024-04-15,alert_trigger,84,42.99,25,White Label Branding
EVT000249,CUST001,ACC001,2024-08-25,report_create,72,25.03,100,Alerts & Notifications
EVT000250,CUST001,ACC001,2024-02-20,login,93,31.59,46,API Access
EVT000251,CUST001,ACC001,2024-05-30,login,79,33.66,45,Predictive Models
EVT000252,CUST001,ACC001,2023-12-18,login,97,47.04,28,Data Export
EVT000253,CUST001,ACC001,2024-07-15,login,25,8.24,91,White Label Branding
EVT000254,CUST001,ACC001,2023-12-21,dashboard_view,51,28.99,64,Analytics Dashboard
EVT000255,CUST001,ACC001,2024-01-15,report_create,23,30.66,90,Analytics Dashboard
EVT000256,CUST001,ACC001,2023-12-28,login,40,4.74,66,Analytics Dashboard
EVT000257,CUST001,ACC001,2024-04-23,login,76,5.04,52,Custom Reports
EVT000258,CUST001,ACC001,2023-11-27,login,54,37.43,73,Predictive Models
EVT000259,CUST001,ACC001,2024-05-13,login,36,33.53,92,User Management
EVT000260,CUST001,ACC001,2024-05-20,dashboard_view,20,24.83,67,Data Integration
EVT000261,CUST001,ACC001,2024-05-05,data_export,81,31.8,6,Advanced Analytics
EVT000262,CUST001,ACC001,2024-09-09,dashboard_view,14,24.11,48,Data Integration
EVT000263,CUST001,ACC001,2024-04-23,login,49,13.9,2,Predictive Models
EVT000264,CUST001,ACC001,2024-08-07,dashboard_view,76,29.65,8,API Access
EVT000265,CUST001,ACC001,2023-12-13,dashboard_view,20,34.05,77,Data Integration
EVT000266,CUST001,ACC001,2024-02-28,dashboard_view,59,48.86,0,Analytics Dashboard
EVT000267,CUST001,ACC001,2024-01-16,api_call,88,26.9,1401,Data Export
EVT000268,CUST001,ACC001,2024-09-26,api_call,66,32.39,6079,Custom Reports
EVT000269,CUST001,ACC001,2024-01-15,login,35,27.89,36,Analytics Dashboard
EVT000270,CUST001,ACC001,2023-10-29,report_create,80,24.72,48,White Label Branding
EVT000271,CUST001,ACC001,2024-09-03,api_call,88,10.27,9101,Alerts & Notifications
EVT000272,CUST001,ACC001,2024-09-25,report_create,16,19.05,34,Custom Reports
EVT000273,CUST001,ACC001,2023-10-28,login,95,2.63,24,Advanced Analytics
EVT000274,CUST001,ACC001,2024-04-20,dashboard_view,84,12.02,37,Analytics Dashboard
EVT000275,CUST001,ACC001,2024-02-26,login,23,1.23,54,Custom Reports
EVT000276,CUST001,ACC001,2024-05-21,data_export,65,2.9,12,Alerts & Notifications
EVT000277,CUST001,ACC001,2023-10-25,data_export,30,21.37,45,Data Export
EVT000278,CUST001,ACC001,2024-09-21,api_call,18,33.6,6667,Data Export
EVT000279,CUST001,ACC001,2024-01-10,report_create,65,47.73,72,API Access
EVT000280,CUST001,ACC001,2023-12-01,login,68,9.82,11,White Label Branding
EVT000281,CUST001,ACC001,2024-07-02,data_export,18,32.94,86,User Management
EVT000282,CUST001,ACC001,2024-10-03,login,77,36.76,68,User Management
EVT000283,CUST001,ACC001,2024-04-15,login,10,7.57,82,Data Export
EVT000284,CUST001,ACC001,2024-02-08,login,65,19.48,96,API Access
EVT000285,CUST001,ACC001,2024-05-12,login,12,5.03,51,Analytics Dashboard
EVT000286,CUST001,ACC001,2023-11-21,dashboard_view,85,31.88,32,Data Integration
EVT000287,CUST001,ACC001,2024-03-08,dashboard_view,40,44.03,89,API Access
EVT000288,CUST001,ACC001,2024-03-11,login,91,36.0,24,Alerts & Notifications
EVT000289,CUST001,ACC001,2024-07-12,dashboard_view,59,18.94,80,White Label Branding
EVT000290,CUST001,ACC001,2024-07-19,login,85,22.08,90,Predictive Models
EVT000291,CUST001,ACC001,2024-02-07,dashboard_view,50,9.9,33,Custom Reports
EVT000292,CUST001,ACC001,2024-01-03,login,31,2.11,14,User Management
EVT000293,CUST001,ACC001,2024-03-01,login,86,10.91,78,API Access
EVT000294,CUST006,ACC006,2024-02-16,login,87,47.31,4,Custom Reports
EVT000295,CUST006,ACC006,2024-07-29,login,60,11.08,82,Predictive Models
EVT000296,CUST006,ACC006,2024-02-05,login,77,40.23,56,Alerts & Notifications
EVT000297,CUST006,ACC006,2024-03-04,alert_trigger,83,7.28,0,White Label Branding
EVT000298,CUST006,ACC006,2024-03-15,dashboard_view,86,31.59,98,Data Export
EVT000299,CUST006,ACC006,2024-07-10,dashboard_view,94,48.59,6,White Label Branding
EVT000300,CUST006,ACC006,2023-10-18,login,89,5.38,53,Data Integration
EVT000301,CUST006,ACC006,2024-04-24,dashboard_view,76,39.08,11,White Label Branding
EVT000302,CUST006,ACC006,2024-04-02,dashboard_view,41,38.72,34,Data Integration
EVT000303,CUST006,ACC006,2024-08-29,login,10,5.3,47,Predictive Models
EVT000304,CUST006,ACC006,2023-12-10,login,34,20.4,38,User Management
EVT000305,CUST006,ACC006,2023-11-11,report_create,11,18.21,68,User Management
EVT000306,CUST006,ACC006,2023-11-09,login,24,5.18,5,Analytics Dashboard
EVT000307,CUST006,ACC006,2024-02-07,login,67,17.57,54,Advanced Analytics
EVT000308,CUST006,ACC006,2024-04-10,dashboard_view,33,41.27,15,Data Export
EVT000309,CUST006,ACC006,2024-07-02,login,47,28.64,3,Predictive Models
EVT000310,CUST006,ACC006,2024-08-10,login,49,6.14,87,User Management
EVT000311,CUST006,ACC006,2024-01-08,report_create,33,49.6,86,Predictive Models
EVT000312,CUST006,ACC006,2024-07-24,alert_trigger,83,11.37,6,Data Integration
EVT000313,CUST006,ACC006,2024-07-26,login,87,3.81,42,User Management
EVT000314,CUST006,ACC006,2024-09-13,alert_trigger,76,43.38,54,API Access
EVT000315,CUST006,ACC006,2024-04-18,login,98,17.68,47,Advanced Analytics
EVT000316,CUST006,ACC006,2024-08-30,data_export,10,5.83,5,Predictive Models
EVT000317,CUST006,ACC006,2024-07-12,login,87,23.58,44,Advanced Analytics
EVT000318,CUST006,ACC006,2024-02-15,alert_trigger,65,27.49,20,Data Export
EVT000319,CUST006,ACC006,2024-10-11,report_create,95,26.23,80,White Label Branding
EVT000320,CUST006,ACC006,2024-08-25,alert_trigger,100,11.76,90,Advanced Analytics
EVT000321,CUST006,ACC006,2024-09-11,data_export,81,22.49,44,Custom Reports
EVT000322,CUST006,ACC006,2024-09-19,login,31,36.15,47,Custom Reports
EVT000323,CUST006,ACC006,2024-03-11,login,95,12.49,40,Data Integration
EVT000324,CUST006,ACC006,2023-12-27,login,31,44.45,92,Custom Reports
EVT000325,CUST006,ACC006,2024-04-19,dashboard_view,76,44.21,76,White Label Branding
EVT000326,CUST006,ACC006,2024-08-02,login,25,39.04,9,API Access
EVT000327,CUST006,ACC006,2024-01-27,login,71,6.53,22,Analytics Dashboard
EVT000328,CUST006,ACC006,2024-09-11,alert_trigger,56,23.41,50,Data Integration
EVT000329,CUST006,ACC006,2024-06-01,login,28,1.7,31,Advanced Analytics
EVT000330,CUST006,ACC006,2024-07-10,report_create,10,24.72,59,API Access
EVT000331,CUST006,ACC006,2024-08-12,dashboard_view,69,46.63,79,Predictive Models
